#
#    Period, Days, T      Frequency, 1/Days, v      Periodogram, I(v)
#
  0.381510416666667E+02   0.262116040955631E-01   0.101922802232238E+00
  0.381262199089135E+02   0.262286689419795E-01   0.146769766370145E+00
  0.381014304291287E+02   0.262457337883959E-01   0.192140898385091E+00
  0.380766731643925E+02   0.262627986348123E-01   0.224189581599733E+00
  0.380519480519481E+02   0.262798634812287E-01   0.232715708751995E+00
  0.380272550292018E+02   0.262969283276451E-01   0.213964417735719E+00
  0.380025940337224E+02   0.263139931740614E-01   0.171687866691655E+00
  0.379779650032404E+02   0.263310580204778E-01   0.116039210747573E+00
  0.379533678756477E+02   0.263481228668942E-01   0.607686526101740E-01
  0.379288025889968E+02   0.263651877133106E-01   0.194364355566134E-01
  0.379042690815006E+02   0.263822525597270E-01   0.181320946305197E-02
  0.378797672915320E+02   0.263993174061433E-01   0.113623986189988E-01
  0.378552971576227E+02   0.264163822525597E-01   0.445270273465557E-01
  0.378308586184635E+02   0.264334470989761E-01   0.919052953826198E-01
  0.378064516129032E+02   0.264505119453925E-01   0.140934174842092E+00
  0.377820760799484E+02   0.264675767918089E-01   0.179348834847724E+00
  0.377577319587629E+02   0.264846416382253E-01   0.198371665766497E+00
  0.377334191886671E+02   0.265017064846416E-01   0.194904418926876E+00
  0.377091377091377E+02   0.265187713310580E-01   0.172053128954918E+00
  0.376848874598071E+02   0.265358361774744E-01   0.137990101942904E+00
  0.376606683804627E+02   0.265529010238908E-01   0.103481078690353E+00
  0.376364804110469E+02   0.265699658703072E-01   0.788167163327562E-01
  0.376123234916560E+02   0.265870307167236E-01   0.709205662213653E-01
  0.375881975625401E+02   0.266040955631399E-01   0.815284009536978E-01
  0.375641025641026E+02   0.266211604095563E-01   0.106805533522492E+00
  0.375400384368994E+02   0.266382252559727E-01   0.138536443008994E+00
  0.375160051216389E+02   0.266552901023891E-01   0.166509897933031E+00
  0.374920025591811E+02   0.266723549488055E-01   0.181436360802144E+00
  0.374680306905371E+02   0.266894197952218E-01   0.177558698677600E+00
  0.374440894568690E+02   0.267064846416382E-01   0.154278566226622E+00
  0.374201787994891E+02   0.267235494880546E-01   0.116334378491223E+00
  0.373962986598596E+02   0.267406143344710E-01   0.725375746242574E-01
  0.373724489795918E+02   0.267576791808874E-01   0.333869876715881E-01
  0.373486297004461E+02   0.267747440273038E-01   0.828330143954793E-02
  0.373248407643312E+02   0.267918088737201E-01   0.311204406144574E-02
  0.373010821133036E+02   0.268088737201365E-01   0.188069438613917E-01
  0.372773536895674E+02   0.268259385665529E-01   0.512868193268212E-01
  0.372536554354736E+02   0.268430034129693E-01   0.927071740797508E-01
  0.372299872935197E+02   0.268600682593857E-01   0.133619763787996E+00
  0.372063492063492E+02   0.268771331058020E-01   0.165385162040188E+00
  0.371827411167513E+02   0.268941979522184E-01   0.182281826433790E+00
  0.371591629676601E+02   0.269112627986348E-01   0.182576246680953E+00
  0.371356147021546E+02   0.269283276450512E-01   0.168660034556751E+00
  0.371120962634579E+02   0.269453924914676E-01   0.146085983225306E+00
  0.370886075949367E+02   0.269624573378840E-01   0.122005357724908E+00
  0.370651486401012E+02   0.269795221843003E-01   0.103530876970565E+00
  0.370417193426043E+02   0.269965870307167E-01   0.963059979418403E-01
  0.370183196462413E+02   0.270136518771331E-01   0.103682162954652E+00
  0.369949494949495E+02   0.270307167235495E-01   0.126445412385342E+00
  0.369716088328076E+02   0.270477815699659E-01   0.162977025642544E+00
  0.369482976040353E+02   0.270648464163823E-01   0.209612947014784E+00
  0.369250157529931E+02   0.270819112627986E-01   0.261055992523285E+00
  0.369017632241814E+02   0.270989761092150E-01   0.310823087022727E+00
  0.368785399622404E+02   0.271160409556314E-01   0.351723288599149E+00
  0.368553459119497E+02   0.271331058020478E-01   0.376671786555528E+00
  0.368321810182275E+02   0.271501706484642E-01   0.379861125139236E+00
  0.368090452261306E+02   0.271672354948805E-01   0.358206628377816E+00
